b'@Man_UnitedK Good on fifa \xf0\x9f\x98\x82'
b'35M for Ben Yedder is solid business scored 30 goals in all competitions last season which is quite good tbf'
"b'@guardian_sport @caitlinmurr @SamMorrisDesign So FIFA sets the market, and the USWNT is paid considerably above market while the men are paid a quarter of their market. Not everything is created to be equal, if the women want more money, their sport needs to start generating more money. Pretty simple economics.'"
b'@rohan_denton any time I play you on Fifa x https://t.co/cWJ5CXy7i7'
b'\xe2\x81\xa6#FIFA is an obsolete non profit business model too big and damaged to continue. VAR carnage in the \xe2\x81\xa6@WorldCup_Womens\xe2\x81\xa9 World Cup  and horrendous referring are damaging the integrity of the beautiful game. \xe2\x81\xa6\xe2\x81\xa6@FIFAWWC\xe2\x81\xa9  https://t.co/Kq2GPEojzC'
b'@Callummwhufc 12 was the last fifa before all the bullshit came into the game'
b'Swiss prosecutors say FIFA work continues after boss recused | AP sports | Journal Gazette https://t.co/d5ffvOBJ3P'
b'@GeorgeFutTrader I would like Chem styles out and put in work rate cards. A lot of cards on Fifa are so useless or bad because of a players work rate.'
b'This look like fifa graphics https://t.co/JnfTnQpcVN'
b'A big success For Pakistan about FIFA World Cup 2022 | Khoji tv https://t.co/ml0PTNClUW via @YouTube'
b'I just wanna play Fifa and drink beer all day. Is that too much to ask \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\xa9'
b'I just hosted *AlexFRMN* on twitch\n\n\xf0\x9f\x93\xba https://t.co/lnNNmYtqHY\n\xf0\x9f\x8e\xae playing: FIFA 19\n\xe2\x8f\xb0 uptime: 5 minutes 7 seconds\n\n\xf0\x9f\x92\x9c Supporting All Streamers\n\n\xf0\x9f\x91\x87 AlexFRMN \xf0\x9f\x91\x87'
"b'@TheVFL_ FUT is FIFA, 11v11 clubs is football.'"
b'@Alen_FIFA_ @sallisosa17 @Carrick4united I meant the source not the player'
b'#USWNT win sets ratings record for #WorldCup quarterfinal vs #France https://t.co/tx1SaesaJK #Merica #GoUSA'
"b""@Icysnap It was really Gerrard that made me support Liverpool. I wasn't really into football except playing FIFA. But around 08 to 09...Gerrard was  imperial. He impressed me and I just had to support."""
"b""@TheVFL_ It's good for a laugh aye, youl always get 3-5 fellas floating around for low man but idk I feel like the real game is 11v11. If we push Lan events for 5v5 fifa will look away from clubs and try to develop this volta mode into online 5v5."""
b'@sallisosa17 @DennyDougy @Carrick4united Scored 30 goals in 50 games last season aswell I believe'
b'@FuckinDrugo 14 is the best Fifa ever'
b'Kick off goals are the worst thing to exist in FIFA'
"b'Would ppl from #USA\xc2\xa0 (America = continent) finally start using the right name 4 #football? Its women\xe2\x80\x99s team has a chance of a  tetra-championship, but still calling it wrong! #notsoccerbutfootball #FIFAWomensWorldCup #FIFAWWC2019 #fifa https://t.co/LzU3bZvcr1'"
b'Let me look to play some fifa eh'
b'Thanks for carrying me to victory in FIFA @drdisrespect https://t.co/ccRGyVVHF1'
b'@NepentheZ If I was you i would\xe2\x80\x99ve been out cruising in the whip in the nice weather rather than playing Fifa\xf0\x9f\x98\x9c'
b'@UtdEze Bro I hate fifa ...this was how someone scored me.. https://t.co/sOMoyOCIcd'
b'Omg this pool game can make me rage more than fifa'
"b'Saw #JPN and #NED- one of the #FIFAWWC best games- and came away impressed by the Dutch, whose improved midfield- now led by the criminally underrated Jackie Groenen- makes them a threat to win the whole thing \n\nhttps://t.co/cMnT3ehK63'"
b'@Villefrance45 @MattHDGamer Then ea realise I stopped playing FIFA so they gave me untradable CR7 Ney Ney and hazard'
"b""Nice's creative initiative to help the homeless https://t.co/YDEaPjLVd1 https://t.co/dbe3RMJCng"""
"b'""Deep Learning"" from Meghan Rapinoe and Ali Krieger: We play MAGAN(Make Alliance Great Again Now) in France, not  LRTAW(""Locker Room Talk"" And Walk) @ WH !Case Study:\nAli Krieger explains her Trump \'grope\' tweet: It showed USWNT\'s support for Megan Rapinoe https://t.co/ZJM4wUAcP2'"
b'@MattHDGamer What can i say in fifa 18 i had better\xf0\x9f\x98\x84'
b'New on Ebay: PS4 FIFA 14 EA SPORTS GAME Excellent Condition https://t.co/9CruQr5DeQ https://t.co/JTE8yQ1r9W'
b'@bateson87 Fifa is shit and dead no one cares'
b'United making this signing purely because he\xe2\x80\x99s overpowered on Fifa https://t.co/a9nXd8beEQ'
b'@KaneMullett If they give a penalty I will slit my wrists'
b'@utdreport @utdxtra @Sport_Witness 35M for the quality he can bring decent if it\xe2\x80\x99s true'
b'@demithacreator Swearz \nIf u beat tha by mistake for PES they talk say that God no be FIFA \n\nAwon Phd in FIFA'
"b'@Mart10HD Haven\xe2\x80\x99t bothered with the sbc! Ultimate is dead, so career mode whilst waiting for fifa 20'"
"b""@bvzzinho @JSo_FIFA @heyM0CHI So you're buzzinho... gg and congrats"""
"b""@MrROSSii1990 This year I have played way more FM than Fifa I'm addicted"""
b'*Man UTD on the counterattack*\n\nDaniel James:https://t.co/Ju62R0KMZB'
"b'On this day last year, France triumphed Argentina in a thrilling 4-3 victory, with Paul Pogba playing a key part on the road to his first and France\xe2\x80\x99s 2nd ever FIFA World Cup. \n\n\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\n\n#PogbaStuff https://t.co/rsWZwpU06K'"
b'Defense! Defense! Defense! Why the focus has shifted for USWNT at the World Cup https://t.co/pfEmNkn15G https://t.co/QAkkcgC9OI'
b'Anyone selling epl for fifa coins?'
"b'Akers, Chastain to take part in new #CTE study #women #soccer https://t.co/eOoBCgo8WT | @espn'"
b'Apparently Ben Yedder is coming to United. All I know is he humiliated our defence in the Champions league and has a 5 star week foot on Fifa'
