b'@messi_who_else @julian2017123 @F1 He legit hit him off the track'
"b""@FootyNewsMedia No - He'd still be a diving cheating second rating A listing Footballer. Nowhere near Messi in terms of a footballer or a person!!"""
"b""'Messi is the greatest player in history': Silva says 'you'll never understand' Barca &amp; Argentina star's quality https://t.co/iTZgw9xoJa https://t.co/KSimOCvVFa"""
"b'#itshaber I have around 700k and I will buy di Maria and de Paul and Messi for the team Vieira, Telles, Ramos, Ter-Stegen and Correa are untreatable. everyone on the bench is untreatable and I also have valencia sbc https://t.co/PeZLoDpotE'"
"b""@totalality How's what I said nonsense? All the time ya all have been devaluing penalties, I'm just being neutral here and telling you guys how it is. I'm not brain-dead for that, its called honesty. The same thing you guys 'loved' about me when I praised Messi. So... hush."""
b'\xe2\x80\x98Messi is giving everything\xe2\x80\x99 \xe2\x80\x93 Di Maria backs Barcelona star\xe2\x80\x99s Copa America\xc2\xa0displays https://t.co/wKZSOhTVex https://t.co/mmXIRbasYU'
b'@Messi_Golazo I\xe2\x80\x99m sure I know which part you want \xf0\x9f\x98\x82\xf0\x9f\xa4\xaa'
b'Sof Messi k manke https://t.co/xIgiPXJlqw'
b'@DatTzezzi @F1 For your mom'
"b'MICHAEL OWEN EXCLUSIVE:""I am convinced [Messi and Ronaldo] would not have reached their highest level, scored so many goals, if they didn\xe2\x80\x99t have each other in their lives,""Owen says in a new book dedicated to Liverpool @LivEchoLFC Full interview only in the book @amazon @LFC https://t.co/PbCceXRcsY'"
b'Barcelona footballer Lionel Messi is the newest addition to Dubai\xc2\xa0Stars https://t.co/OuIyPFcD8D https://t.co/B4ABet8VXS'
"b""@LouiseMensch @HowdyFtrump2 @jkbjournalist Yeah....until you've seen Megan Rapinoe hammer a Tobin Heath cross into the back of the net, threading the needle between 3 defenders....Lionel Messi level awesomeness.\n\nYouTube highlights y'all!!!"""
b'Need Lautaro Martinez at Barca for him to establish a connection with Messi and lead Argentina to glory'
"b'Thiago Silva - \xe2\x80\x9cMessi is the greatest player in history, the greatest I\xe2\x80\x99ve ever seen. But it\xe2\x80\x99s time for Brazil vs Argentina, we will leave it to admire him later.\xe2\x80\x9d\n\nHe also said that he believes Cristiano deserves the same amount of respect as Messi. https://t.co/x7PETjy68B'"
b'@GuvnaB Luisito is the ultimate friend to Leo Messi!  Misses the same first penalty kick of a shootout in the same tournament three years later so that Leo has some company.  #AmigosSiempre'
"b'Just met Yann off the beach path in Mallorca \xf0\x9f\x98\x8d\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\xf0\x9f\x92\x9a\xf0\x9f\x8e\xa9 he confirmed to me that once he signs for Barcelona, there will be no such thing as Leo Messi anymore.\xf0\x9f\x98\x8e #pafc https://t.co/0C5gy9o0KC'"
